                  Raises by station TOTAL NORDHORN                  
   date    |    time    |  alt   |   diesel  |     e5    |    e10   
--------------------------------------------------------------------
2014-06-09 |  00:02:01  |     21 | 145.9 + 9 | 164.9 + 9 | 164.9 + 9
2014-06-09 |  15:58:01  |     21 | 145.9 + 9 | 164.9 + 9 | 164.9 + 9
2014-06-10 |  15:30:01  |     21 | 145.9 + 6 | 165.9 + 7 | 165.9 + 7
2014-06-11 |  15:30:01  |     21 | 146.9 + 7 | 166.9 + 8 | 166.9 + 8
2014-06-12 |  15:30:01  |     21 | 147.9 + 7 | 167.9 + 9 | 167.9 + 9
2014-06-13 |  15:30:01  |     21 | 147.9 + 7 | 168.9 +10 | 168.9 +10
2014-06-14 |  15:58:01  |     21 | 147.9 + 8 | 167.9 + 9 | 167.9 + 9
2014-06-15 |  15:58:01  |     21 | 147.9 + 8 | 168.9 + 9 | 168.9 + 9
2014-06-16 |  15:30:01  |     21 | 148.9 + 6 | 168.9 + 5 | 168.9 + 5
2014-06-17 |  15:30:01  |     21 | 148.9 + 6 | 169.9 + 7 | 169.9 + 7
2014-06-18 |  15:30:01  |     21 | 148.9 + 6 | 169.9 + 7 | 169.9 + 7
2014-06-19 |  15:30:01  |     21 | 148.9 +10 | 169.9 +11 | 169.9 +11
2014-06-20 |  15:30:01  |     21 | 148.9 + 7 | 169.9 + 8 | 169.9 + 8
2014-06-21 |  15:58:01  |     21 | 147.9 + 9 | 168.9 + 9 | 168.9 + 9
2014-06-22 |  15:58:01  |     21 | 146.9 + 9 | 168.9 + 9 | 168.9 + 9
2014-06-23 |  15:30:01  |     21 | 148.9 + 6 | 169.9 + 6 | 169.9 + 6
2014-06-24 |  15:30:01  |     21 | 148.9 + 6 | 169.9 + 6 | 169.9 + 6
2014-06-25 |  15:30:01  |     21 | 149.9 + 7 | 169.9 + 6 | 169.9 + 6
2014-06-26 |  15:30:01  |     21 | 149.9 + 6 | 169.9 + 6 | 169.9 + 6
2014-06-27 |  15:30:01  |     21 | 149.9 + 6 | 169.9 + 6 | 169.9 + 6
2014-06-28 |  16:02:01  |     21 | 149.9 + 6 | 169.9 + 6 | 169.9 + 6
2014-06-29 |  15:58:01  |     21 | 148.9 + 9 | 169.9 + 9 | 169.9 + 9
2014-06-30 |  15:30:01  |     21 | 149.9 + 7 | 169.9 + 6 | 169.9 + 6
2014-07-01 |  15:30:01  |     21 | 149.9 + 7 | 169.9 + 6 | 169.9 + 6
2014-07-02 |  15:30:01  |     21 | 148.9 + 6 | 169.9 + 6 | 169.9 + 6
2014-07-03 |  15:30:01  |     21 | 148.9 + 6 | 168.9 + 6 | 168.9 + 6
2014-07-04 |  15:30:01  |     21 | 148.9 + 6 | 168.9 + 6 | 168.9 + 6
2014-07-05 |  15:58:01  |     21 | 148.9 + 7 | 168.9 + 6 | 168.9 + 6
2014-07-06 |  15:58:01  |     21 | 148.9 + 7 | 168.9 + 6 | 168.9 + 6
2014-07-07 |  15:30:01  |     21 | 147.9 + 6 | 168.9 + 6 | 168.9 + 6
2014-07-08 |  15:30:01  |     21 | 146.9 + 5 | 168.9 + 6 | 168.9 + 6
2014-07-09 |  15:30:01  |     21 | 146.9 + 6 | 168.9 + 7 | 168.9 + 7
2014-07-10 |  15:30:01  |     21 | 146.9 + 6 | 168.9 + 7 | 168.9 + 7
2014-07-11 |  15:30:01  |     21 | 146.9 + 6 | 168.9 + 7 | 168.9 + 7
