                   Drops by station Q1 Tankstelle                   
   date    |    time    |  alt   |   diesel  |     e5    |    e10   
--------------------------------------------------------------------
2014-06-09 |  00:18:01  |     21 | 136.9  -6 | 159.9  -3 | 159.9  -3
2014-06-09 |  06:18:01  |     21 | 130.9  -6 | 152.9  -7 | 152.9  -7
2014-06-09 |  23:30:01  |     21 | 136.9  -6 | 158.9  -4 | 158.9  -4
2014-06-10 |  05:34:01  |     21 | 136.9  -1 | 158.9  -1 | 158.9  -1
2014-06-10 |  06:18:01  |     21 | 135.9  -1 | 157.9  -1 | 157.9  -1
2014-06-10 |  06:34:01  |     21 | 132.9  -3 | 154.9  -3 | 154.9  -3
2014-06-10 |  07:58:01  |     63 | 132.9   0 | 153.9  -1 | 153.9  -1
2014-06-10 |  10:18:01  |     21 | 131.9  -1 | 152.9  -1 | 152.9  -1
2014-06-10 |  14:26:01  |      1 | 130.9  -1 | 152.9   0 | 152.9   0
2014-06-10 |  23:58:01  |     21 | 138.9  -4 | 158.9  -4 | 158.9  -4
2014-06-11 |  01:42:01  |      1 | 137.9  -1 | 158.9   0 | 158.9   0
2014-06-11 |  04:06:01  |     21 | 136.9  -1 | 156.9  -2 | 156.9  -2
2014-06-11 |  04:54:01  |     21 | 135.9  -1 | 155.9  -1 | 155.9  -1
2014-06-11 |  06:22:01  |     21 | 134.9  -1 | 154.9  -1 | 154.9  -1
2014-06-11 |  06:42:01  |      1 | 133.9  -1 | 154.9   0 | 154.9   0
2014-06-11 |  09:18:01  |     21 | 132.9  -1 | 153.9  -1 | 153.9  -1
2014-06-11 |  12:18:01  |      1 | 131.9  -1 | 153.9   0 | 153.9   0
2014-06-11 |  12:54:01  |      1 | 130.9  -1 | 153.9   0 | 153.9   0
2014-06-11 |  23:30:01  |     21 | 137.9  -5 | 159.9  -3 | 159.9  -3
2014-06-12 |  02:46:01  |     21 | 136.9  -1 | 158.9  -1 | 158.9  -1
2014-06-12 |  04:50:01  |     21 | 135.9  -1 | 157.9  -1 | 157.9  -1
2014-06-12 |  05:50:01  |     21 | 134.9  -1 | 156.9  -1 | 156.9  -1
2014-06-12 |  07:42:01  |     21 | 133.9  -1 | 155.9  -1 | 155.9  -1
