                   Drops by station Q1 Tankstelle                   
   date    |    time    |  alt   |   diesel  |     e5    |    e10   
--------------------------------------------------------------------
2014-06-14 |  03:54:01  |     21 | 138.9  -1 | 160.9  -1 | 160.9  -1
2014-06-14 |  06:50:01  |     21 | 137.9  -1 | 159.9  -1 | 159.9  -1
2014-06-14 |  07:38:01  |     21 | 135.9  -2 | 157.9  -2 | 157.9  -2
2014-06-14 |  10:38:01  |      1 | 134.9  -1 | 157.9   0 | 157.9   0
2014-06-15 |  02:34:01  |     63 | 140.9  -4 | 153.9 -11 | 153.9 -11
2014-06-15 |  04:38:01  |     20 | 140.9   0 | 153.9 -10 | 153.9 -10
2014-06-15 |  07:30:01  |      1 | 134.9  -6 | 163.9   0 | 163.9   0
2014-06-15 |  07:42:01  |     20 | 134.9   0 | 156.9  -7 | 156.9  -7
2014-06-15 |  23:54:01  |     21 | 140.9  -4 | 162.9  -2 | 162.9  -2
2014-06-21 |  03:22:01  |     21 | 137.9  -3 | 160.9  -3 | 160.9  -3
2014-06-21 |  04:02:01  |     21 | 136.9  -1 | 159.9  -1 | 159.9  -1
2014-06-21 |  04:38:01  |     21 | 135.9  -1 | 158.9  -1 | 158.9  -1
2014-06-22 |  00:10:01  |     21 | 140.9  -5 | 163.9  -2 | 163.9  -2
2014-06-22 |  06:38:01  |     21 | 137.9  -3 | 159.9  -4 | 159.9  -4
2014-06-22 |  08:42:01  |     21 | 136.9  -1 | 158.9  -1 | 158.9  -1
2014-06-22 |  09:54:01  |     21 | 134.9  -2 | 157.9  -1 | 157.9  -1
2014-06-22 |  23:34:01  |     21 | 141.9  -4 | 163.9  -2 | 163.9  -2
2014-06-28 |  01:22:01  |     63 | 139.9  -5 | 162.9  -2 | 162.9  -2
2014-06-28 |  03:30:01  |     21 | 138.9  -1 | 161.9  -1 | 161.9  -1
2014-06-28 |  04:42:01  |     21 | 137.9  -1 | 160.9  -1 | 160.9  -1
2014-06-28 |  05:22:01  |     21 | 134.9  -3 | 157.9  -3 | 157.9  -3
2014-06-28 |  08:02:01  |     21 | 133.9  -1 | 156.9  -1 | 156.9  -1
2014-06-28 |  23:38:01  |     21 | 139.9  -5 | 162.9  -2 | 162.9  -2
2014-06-29 |  01:30:01  |      1 | 138.9  -1 | 162.9   0 | 162.9   0
2014-06-29 |  06:14:01  |     21 | 137.9  -1 | 160.9  -2 | 160.9  -2
2014-06-29 |  07:18:01  |     21 | 136.9  -1 | 159.9  -1 | 159.9  -1
2014-06-29 |  08:02:01  |     21 | 135.9  -1 | 158.9  -1 | 158.9  -1
2014-06-29 |  11:34:01  |     21 | 133.9  -2 | 156.9  -2 | 156.9  -2
2014-06-29 |  23:22:01  |     21 | 139.9  -5 | 162.9  -2 | 162.9  -2
2014-07-05 |  00:58:01  |     63 | 138.9  -6 | 161.9  -4 | 161.9  -4
2014-07-05 |  02:50:01  |     21 | 137.9  -1 | 160.9  -1 | 160.9  -1
2014-07-05 |  03:18:01  |     21 | 136.9  -1 | 159.9  -1 | 159.9  -1
2014-07-05 |  04:18:01  |     21 | 135.9  -1 | 158.9  -1 | 158.9  -1
2014-07-05 |  05:06:01  |     21 | 134.9  -1 | 157.9  -1 | 157.9  -1
