                  Raises by station Q1 Tankstelle                   
   date    |    time    |  alt   |   diesel  |     e5    |    e10   
--------------------------------------------------------------------
2014-06-09 |  00:02:01  |     21 | 142.9 +12 | 162.9 + 9 | 162.9 + 9
2014-06-09 |  17:18:01  |     21 | 142.9 +12 | 162.9 +10 | 162.9 +10
2014-06-10 |  05:26:01  |     21 | 137.9 + 1 | 159.9 + 1 | 159.9 + 1
2014-06-10 |  17:14:01  |     21 | 142.9 +12 | 162.9 +10 | 162.9 +10
2014-06-11 |  17:18:01  |     21 | 142.9 +12 | 162.9 + 9 | 162.9 + 9
2014-06-12 |  17:14:01  |     21 | 143.9 +12 | 163.9 +10 | 163.9 +10
2014-06-13 |  06:26:01  |      4 | 137.9 + 0 | 160.9 + 4 | 160.9 + 0
2014-06-13 |  08:22:01  |     21 | 137.9 + 2 | 156.9 + 1 | 156.9 + 1
2014-06-13 |  17:14:01  |     21 | 144.9 +11 | 164.9 + 9 | 164.9 + 9
2014-06-14 |  17:18:01  |     21 | 144.9 +10 | 164.9 + 7 | 164.9 + 7
2014-06-15 |  04:18:01  |     20 | 140.9 + 0 | 163.9 +10 | 163.9 +10
2014-06-15 |  05:46:01  |     20 | 140.9 + 0 | 163.9 +10 | 163.9 +10
2014-06-15 |  17:10:01  |     21 | 144.9 +10 | 164.9 + 8 | 164.9 + 8
2014-06-16 |  17:14:01  |     21 | 144.9 +11 | 164.9 + 9 | 164.9 + 9
2014-06-17 |  17:10:01  |     21 | 144.9 +11 | 164.9 + 9 | 164.9 + 9
2014-06-18 |  17:18:01  |     21 | 145.9 +11 | 165.9 + 9 | 165.9 + 9
2014-06-19 |  17:14:01  |     21 | 145.9 +11 | 165.9 + 9 | 165.9 + 9
2014-06-20 |  17:18:01  |     21 | 145.9 +11 | 165.9 + 8 | 165.9 + 8
2014-06-21 |  17:18:01  |     21 | 145.9 +10 | 165.9 + 7 | 165.9 + 7
2014-06-22 |  17:10:01  |     21 | 145.9 +11 | 165.9 + 8 | 165.9 + 8
2014-06-23 |  01:34:01  |      1 | 141.9 + 1 | 163.9 + 0 | 163.9 + 0
2014-06-23 |  17:18:01  |     21 | 145.9 +11 | 165.9 + 8 | 165.9 + 8
2014-06-24 |  17:14:01  |     21 | 145.9 +11 | 165.9 + 8 | 165.9 + 8
2014-06-25 |  17:14:01  |     21 | 145.9 +11 | 165.9 + 8 | 165.9 + 8
2014-06-26 |  05:46:02  |     21 | 137.9 + 1 | 160.9 + 1 | 160.9 + 1
2014-06-26 |  17:18:01  |     21 | 145.9 +10 | 165.9 + 8 | 165.9 + 8
2014-06-27 |  17:14:01  |     21 | 144.9 +11 | 164.9 + 8 | 164.9 + 8
2014-06-28 |  17:10:01  |     21 | 144.9 +11 | 164.9 + 8 | 164.9 + 8
2014-06-29 |  20:58:02  |     63 | 144.9 +11 | 164.9 + 8 | 164.9 + 8
2014-06-30 |  17:18:01  |     21 | 144.9 +11 | 164.9 + 9 | 164.9 + 9
2014-07-01 |  02:50:01  |      1 | 144.9 + 5 | 162.9 + 0 | 162.9 + 0
2014-07-01 |  17:14:01  |     21 | 144.9 +12 | 165.9 + 9 | 165.9 + 9
2014-07-02 |  20:58:01  |     63 | 144.9 +12 | 165.9 + 9 | 165.9 + 9
2014-07-03 |  17:14:01  |     21 | 144.9 +12 | 165.9 + 9 | 165.9 + 9
2014-07-04 |  04:02:01  |     16 | 134.9 + 0 | 158.9 + 0 | 158.9 + 2
2014-07-04 |  17:18:01  |     21 | 144.9 +12 | 165.9 +10 | 165.9 +10
2014-07-05 |  19:46:01  |     63 | 144.9 +13 | 165.9 +10 | 165.9 +10
2014-07-06 |  17:46:01  |     63 | 144.9 +13 | 165.9 +10 | 165.9 +10
2014-07-07 |  17:18:01  |     21 | 144.9 +13 | 165.9 +10 | 165.9 +10
2014-07-08 |  17:18:01  |     21 | 144.9 +12 | 165.9 + 8 | 165.9 + 8
2014-07-09 |  20:34:01  |     63 | 144.9 +12 | 165.9 +10 | 165.9 +10
2014-07-10 |  17:18:01  |     21 | 144.9 +12 | 165.9 + 9 | 165.9 + 9
2014-07-11 |  17:14:01  |     21 | 141.9 +10 | 165.9 +10 | 165.9 +10
2014-07-12 |  18:10:01  |     63 | 141.9 + 8 | 165.9 + 8 | 165.9 + 8
2014-07-13 |  17:14:01  |     21 | 141.9 +10 | 165.9 +11 | 165.9 +11
2014-07-14 |  17:14:01  |     21 | 141.9 +10 | 164.9 +10 | 164.9 +10
2014-07-15 |  21:10:01  |     63 | 141.9 +10 | 164.9 + 9 | 164.9 + 9
2014-07-16 |  17:10:01  |     21 | 141.9 +11 | 163.9 +10 | 163.9 +10
2014-07-17 |  22:34:01  |     63 | 141.9 +11 | 163.9 +11 | 163.9 +11
2014-07-18 |  17:14:01  |     21 | 140.9 + 9 | 161.9 + 9 | 161.9 + 9
2014-07-19 |  17:18:01  |     21 | 140.9 + 9 | 161.9 + 9 | 161.9 + 9
2014-07-20 |  17:58:01  |     63 | 140.9 + 9 | 161.9 + 9 | 161.9 + 9
2014-07-21 |  17:18:01  |     21 | 141.9 +10 | 162.9 +10 | 162.9 +10
2014-07-22 |  17:14:01  |     21 | 142.9 +10 | 163.9 +11 | 163.9 +11
