                  Drops by station TOTAL NORDHORN                   
   date    |    time    |  alt   |   diesel  |     e5    |    e10   
--------------------------------------------------------------------
2014-06-09 |  01:30:01  |     21 | 139.9  -6 | 160.9  -4 | 160.9  -4
2014-06-09 |  07:38:01  |     21 | 136.9  -3 | 155.9  -5 | 155.9  -5
2014-06-10 |  02:10:01  |     21 | 139.9  -6 | 160.9  -4 | 160.9  -4
2014-06-10 |  06:02:01  |     20 | 139.9   0 | 159.9  -1 | 159.9  -1
2014-06-10 |  09:58:01  |     20 | 139.9   0 | 158.9  -1 | 158.9  -1
2014-06-11 |  02:10:01  |     21 | 139.9  -6 | 161.9  -4 | 161.9  -4
2014-06-11 |  06:34:01  |     20 | 139.9   0 | 158.9  -3 | 158.9  -3
2014-06-12 |  02:30:01  |     21 | 140.9  -6 | 161.9  -5 | 161.9  -5
2014-06-12 |  05:42:01  |     20 | 140.9   0 | 158.9  -3 | 158.9  -3
2014-06-13 |  02:10:01  |     21 | 141.9  -6 | 162.9  -5 | 162.9  -5
2014-06-13 |  05:50:01  |     21 | 140.9  -1 | 158.9  -4 | 158.9  -4
2014-06-16 |  02:10:01  |     21 | 142.9  -5 | 163.9  -5 | 163.9  -5
2014-06-17 |  02:10:01  |     21 | 142.9  -6 | 164.9  -4 | 164.9  -4
2014-06-17 |  02:18:01  |     20 | 142.9   0 | 163.9  -1 | 163.9  -1
2014-06-17 |  08:58:01  |     20 | 142.9   0 | 162.9  -1 | 162.9  -1
2014-06-18 |  02:10:01  |     21 | 142.9  -6 | 163.9  -6 | 163.9  -6
2014-06-18 |  05:38:01  |     20 | 142.9   0 | 162.9  -1 | 162.9  -1
2014-06-19 |  02:10:01  |     21 | 142.9  -6 | 163.9  -6 | 163.9  -6
2014-06-19 |  05:42:01  |     20 | 142.9   0 | 162.9  -1 | 162.9  -1
2014-06-19 |  08:10:01  |     21 | 138.9  -4 | 158.9  -4 | 158.9  -4
2014-06-20 |  02:10:01  |     21 | 142.9  -6 | 163.9  -6 | 163.9  -6
2014-06-20 |  11:30:01  |     21 | 141.9  -1 | 161.9  -2 | 161.9  -2
2014-06-23 |  22:30:01  |     21 | 142.9  -6 | 163.9  -6 | 163.9  -6
2014-06-24 |  23:18:01  |     21 | 142.9  -6 | 163.9  -6 | 163.9  -6
2014-06-25 |  23:54:01  |     21 | 143.9  -6 | 163.9  -6 | 163.9  -6
2014-06-26 |  22:38:01  |     21 | 143.9  -6 | 163.9  -6 | 163.9  -6
2014-06-30 |  22:30:01  |     21 | 142.9  -7 | 163.9  -6 | 163.9  -6
2014-07-01 |  23:22:01  |     21 | 142.9  -7 | 163.9  -6 | 163.9  -6
2014-07-02 |  22:30:01  |     21 | 142.9  -6 | 162.9  -7 | 162.9  -7
2014-07-03 |  22:38:01  |     21 | 142.9  -6 | 162.9  -6 | 162.9  -6
2014-07-07 |  23:22:01  |     21 | 141.9  -6 | 162.9  -6 | 162.9  -6
2014-07-08 |  22:18:01  |     21 | 141.9  -5 | 162.9  -6 | 162.9  -6
2014-07-09 |  11:38:01  |     21 | 140.9  -1 | 161.9  -1 | 161.9  -1
2014-07-09 |  22:18:01  |     21 | 140.9  -6 | 162.9  -6 | 162.9  -6
2014-07-10 |  08:38:01  |     20 | 140.9   0 | 161.9  -1 | 161.9  -1
2014-07-10 |  22:38:01  |     21 | 140.9  -6 | 162.9  -6 | 162.9  -6
2014-07-11 |  11:10:01  |     20 | 140.9   0 | 161.9  -1 | 161.9  -1
2014-07-14 |  02:14:01  |     21 | 140.9  -6 | 162.9  -6 | 162.9  -6
2014-07-15 |  02:10:01  |     21 | 140.9  -6 | 162.9  -6 | 162.9  -6
2014-07-15 |  06:10:01  |      1 | 139.9  -1 | 162.9   0 | 162.9   0
2014-07-16 |  02:14:01  |     21 | 139.9  -7 | 162.9  -5 | 162.9  -5
2014-07-16 |  06:10:01  |     20 | 139.9   0 | 161.9  -1 | 161.9  -1
2014-07-17 |  02:10:01  |     21 | 139.9  -7 | 161.9  -6 | 161.9  -6
2014-07-18 |  02:18:01  |     21 | 140.9  -6 | 161.9  -6 | 161.9  -6
2014-07-21 |  02:10:01  |     21 | 140.9  -6 | 161.9  -6 | 161.9  -6
2014-07-22 |  02:18:01  |     21 | 141.9  -5 | 162.9  -5 | 162.9  -5
2014-07-22 |  10:30:02  |     21 | 140.9  -1 | 161.9  -1 | 161.9  -1
2014-07-23 |  02:30:01  |     21 | 141.9  -5 | 162.9  -5 | 162.9  -5
2014-07-23 |  11:50:01  |     21 | 139.9  -2 | 161.9  -1 | 161.9  -1
2014-07-24 |  02:18:01  |     21 | 142.9  -5 | 162.9  -5 | 162.9  -5
2014-07-24 |  09:18:01  |      1 | 141.9  -1 | 162.9   0 | 162.9   0
2014-07-25 |  02:18:01  |     21 | 142.9  -5 | 162.9  -5 | 162.9  -5
2014-07-25 |  09:18:01  |     21 | 138.9  -4 | 159.9  -3 | 159.9  -3
2014-07-28 |  02:18:01  |     21 | 142.9  -5 | 162.9  -5 | 162.9  -5
2014-07-28 |  06:58:01  |     21 | 139.9  -3 | 159.9  -3 | 159.9  -3
2014-07-29 |  02:10:01  |     21 | 142.9  -5 | 162.9  -4 | 162.9  -4
2014-07-29 |  05:58:01  |     21 | 132.9 -10 | 153.9  -9 | 153.9  -9
2014-07-29 |  09:30:01  |     20 | 132.9   0 | 152.9  -1 | 152.9  -1
2014-07-30 |  02:18:01  |     21 | 139.9  -7 | 159.9  -6 | 159.9  -6
2014-07-31 |  02:10:01  |     21 | 143.9  -4 | 162.9  -4 | 162.9  -4
2014-07-31 |  06:38:01  |      1 | 140.9  -3 | 162.9   0 | 162.9   0
2014-07-31 |  07:18:01  |     21 | 139.9  -1 | 161.9  -1 | 161.9  -1
2014-07-31 |  11:18:01  |     21 | 137.9  -2 | 159.9  -2 | 159.9  -2
2014-07-31 |  12:18:01  |     21 | 136.9  -1 | 158.9  -1 | 158.9  -1
2014-08-01 |  02:14:01  |     21 | 140.9  -7 | 162.9  -4 | 162.9  -4
2014-08-01 |  05:50:01  |     21 | 137.9  -3 | 159.9  -3 | 159.9  -3
2014-08-04 |  03:18:01  |     21 | 142.9  -4 | 161.9  -5 | 161.9  -5
2014-08-04 |  05:38:01  |      1 | 140.9  -2 | 161.9   0 | 161.9   0
2014-08-04 |  06:06:01  |      1 | 139.9  -1 | 161.9   0 | 161.9   0
2014-08-04 |  09:18:01  |     21 | 138.9  -1 | 160.9  -1 | 160.9  -1
2014-08-05 |  09:10:01  |     21 | 142.9  -5 | 161.9  -4 | 161.9  -4
2014-08-05 |  14:38:01  |     21 | 138.9  -4 | 160.9  -1 | 160.9  -1
2014-08-05 |  17:10:01  |     21 | 136.9  -2 | 158.9  -2 | 158.9  -2
2014-08-06 |  08:58:01  |     21 | 141.9  -6 | 160.9  -5 | 160.9  -5
2014-08-06 |  11:58:01  |      1 | 139.9  -2 | 160.9   0 | 160.9   0
2014-08-06 |  14:54:01  |      1 | 138.9  -1 | 160.9   0 | 160.9   0
2014-08-06 |  16:58:01  |     21 | 137.9  -1 | 158.9  -2 | 158.9  -2
2014-08-06 |  18:18:01  |     21 | 136.9  -1 | 157.9  -1 | 157.9  -1
2014-08-07 |  08:38:01  |     21 | 141.9  -7 | 159.9  -6 | 159.9  -6
2014-08-07 |  12:06:01  |      1 | 139.9  -2 | 159.9   0 | 159.9   0
2014-08-07 |  14:30:01  |     21 | 138.9  -1 | 158.9  -1 | 158.9  -1
2014-08-07 |  15:58:01  |     21 | 136.9  -2 | 156.9  -2 | 156.9  -2
2014-08-08 |  08:18:01  |     21 | 141.9  -7 | 160.9  -5 | 160.9  -5
2014-08-08 |  11:38:01  |     21 | 138.9  -3 | 158.9  -2 | 158.9  -2
2014-08-08 |  13:42:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-08-08 |  14:30:01  |     20 | 137.9   0 | 156.9  -1 | 156.9  -1
2014-08-08 |  15:10:01  |      1 | 136.9  -1 | 156.9   0 | 156.9   0
2014-08-08 |  15:30:01  |     21 | 135.9  -1 | 155.9  -1 | 155.9  -1
2014-08-08 |  16:58:01  |      1 | 134.9  -1 | 155.9   0 | 155.9   0
2014-08-11 |  08:14:01  |     21 | 143.9  -5 | 161.9  -4 | 161.9  -4
2014-08-11 |  11:38:01  |     21 | 140.9  -3 | 160.9  -1 | 160.9  -1
2014-08-11 |  14:18:01  |     21 | 139.9  -1 | 159.9  -1 | 159.9  -1
2014-08-11 |  14:58:01  |     21 | 138.9  -1 | 158.9  -1 | 158.9  -1
2014-08-11 |  17:10:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-08-12 |  08:10:01  |     21 | 142.9  -6 | 161.9  -4 | 161.9  -4
2014-08-12 |  11:34:01  |     21 | 139.9  -3 | 159.9  -2 | 159.9  -2
2014-08-12 |  15:18:01  |     21 | 138.9  -1 | 156.9  -3 | 156.9  -3
2014-08-12 |  16:26:01  |     21 | 137.9  -1 | 155.9  -1 | 155.9  -1
2014-08-13 |  08:10:01  |     21 | 142.9  -5 | 160.9  -5 | 160.9  -5
2014-08-13 |  12:46:01  |     21 | 137.9  -5 | 155.9  -5 | 155.9  -5
2014-08-13 |  14:18:01  |     21 | 136.9  -1 | 154.9  -1 | 154.9  -1
2014-08-13 |  17:18:01  |     21 | 135.9  -1 | 153.9  -1 | 153.9  -1
2014-08-14 |  07:38:01  |     21 | 141.9  -6 | 159.9  -6 | 159.9  -6
2014-08-14 |  11:58:01  |     21 | 138.9  -3 | 158.9  -1 | 158.9  -1
2014-08-14 |  13:38:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-08-14 |  15:10:01  |     21 | 136.9  -1 | 156.9  -1 | 156.9  -1
2014-08-14 |  16:50:01  |     21 | 135.9  -1 | 155.9  -1 | 155.9  -1
2014-08-15 |  08:10:01  |     21 | 140.9  -6 | 160.9  -4 | 160.9  -4
2014-08-15 |  11:38:01  |     21 | 138.9  -2 | 158.9  -2 | 158.9  -2
2014-08-15 |  13:34:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-08-15 |  15:38:01  |     21 | 136.9  -1 | 156.9  -1 | 156.9  -1
2014-08-15 |  17:10:01  |     21 | 135.9  -1 | 155.9  -1 | 155.9  -1
2014-08-18 |  09:18:01  |     21 | 142.9  -4 | 161.9  -3 | 161.9  -3
2014-08-18 |  11:50:01  |     21 | 134.9  -8 | 153.9  -8 | 153.9  -8
2014-08-19 |  08:30:01  |     21 | 140.9  -6 | 159.9  -5 | 159.9  -5
2014-08-19 |  11:50:01  |     21 | 138.9  -2 | 158.9  -1 | 158.9  -1
2014-08-19 |  13:34:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-08-19 |  15:38:01  |     21 | 136.9  -1 | 156.9  -1 | 156.9  -1
2014-08-20 |  08:10:01  |     21 | 140.9  -6 | 159.9  -5 | 159.9  -5
2014-08-20 |  11:58:01  |      1 | 139.9  -1 | 159.9   0 | 159.9   0
2014-08-20 |  14:34:01  |     21 | 138.9  -1 | 158.9  -1 | 158.9  -1
2014-08-20 |  16:10:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-08-20 |  17:10:01  |     21 | 136.9  -1 | 156.9  -1 | 156.9  -1
2014-08-21 |  07:58:01  |     21 | 141.9  -5 | 160.9  -4 | 160.9  -4
2014-08-21 |  13:22:01  |     21 | 137.9  -4 | 157.9  -3 | 157.9  -3
2014-08-21 |  14:18:01  |      1 | 136.9  -1 | 157.9   0 | 157.9   0
2014-08-21 |  16:18:01  |     21 | 135.9  -1 | 155.9  -2 | 155.9  -2
2014-08-22 |  07:58:01  |     21 | 140.9  -7 | 160.9  -5 | 160.9  -5
2014-08-22 |  12:14:01  |     21 | 139.9  -1 | 159.9  -1 | 159.9  -1
2014-08-22 |  14:10:01  |     21 | 137.9  -2 | 157.9  -2 | 157.9  -2
2014-08-22 |  17:58:01  |     21 | 136.9  -1 | 156.9  -1 | 156.9  -1
2014-08-25 |  07:58:01  |     21 | 139.9  -3 | 160.9  -3 | 160.9  -3
2014-08-25 |  15:38:01  |     21 | 138.9  -1 | 158.9  -2 | 158.9  -2
2014-08-25 |  17:10:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-08-25 |  18:10:01  |     21 | 136.9  -1 | 156.9  -1 | 156.9  -1
2014-08-26 |  08:10:01  |     21 | 141.9  -6 | 161.9  -4 | 161.9  -4
