                  Drops by station TOTAL NORDHORN                   
   date    |    time    |  alt   |   diesel  |     e5    |    e10   
--------------------------------------------------------------------
2014-06-14 |  00:18:01  |     21 | 141.9  -6 | 163.9  -5 | 163.9  -5
2014-06-14 |  05:50:01  |     21 | 139.9  -2 | 160.9  -3 | 160.9  -3
2014-06-14 |  07:50:01  |     20 | 139.9   0 | 158.9  -2 | 158.9  -2
2014-06-15 |  01:30:01  |     21 | 142.9  -5 | 163.9  -4 | 163.9  -4
2014-06-15 |  05:10:01  |      1 | 141.9  -1 | 163.9   0 | 163.9   0
2014-06-15 |  06:18:01  |     21 | 139.9  -2 | 159.9  -4 | 159.9  -4
2014-06-21 |  00:30:01  |     21 | 142.9  -6 | 163.9  -6 | 163.9  -6
2014-06-21 |  05:42:01  |     20 | 142.9   0 | 162.9  -1 | 162.9  -1
2014-06-21 |  07:58:01  |     21 | 138.9  -4 | 159.9  -3 | 159.9  -3
2014-06-22 |  01:38:01  |     21 | 143.9  -4 | 165.9  -3 | 165.9  -3
2014-06-22 |  03:10:01  |     21 | 142.9  -1 | 163.9  -2 | 163.9  -2
2014-06-22 |  06:38:01  |     21 | 137.9  -5 | 159.9  -4 | 159.9  -4
2014-06-22 |  22:30:01  |     21 | 142.9  -4 | 163.9  -5 | 163.9  -5
2014-06-28 |  00:30:01  |     21 | 143.9  -6 | 165.9  -4 | 165.9  -4
2014-06-28 |  00:54:01  |     20 | 143.9   0 | 163.9  -2 | 163.9  -2
2014-06-29 |  01:06:01  |     21 | 142.9  -7 | 163.9  -6 | 163.9  -6
2014-06-29 |  06:26:01  |     21 | 141.9  -1 | 161.9  -2 | 161.9  -2
2014-06-29 |  07:58:01  |     21 | 139.9  -2 | 160.9  -1 | 160.9  -1
2014-06-29 |  22:38:01  |     21 | 142.9  -6 | 163.9  -6 | 163.9  -6
2014-07-05 |  00:30:01  |     21 | 141.9  -7 | 162.9  -6 | 162.9  -6
2014-07-06 |  01:26:01  |     21 | 141.9  -7 | 162.9  -6 | 162.9  -6
2014-07-06 |  22:30:01  |     21 | 141.9  -7 | 162.9  -6 | 162.9  -6
2014-07-12 |  00:38:01  |     21 | 140.9  -6 | 162.9  -6 | 162.9  -6
2014-07-13 |  01:14:01  |     21 | 140.9  -6 | 162.9  -6 | 162.9  -6
2014-07-19 |  01:46:01  |     21 | 142.9  -4 | 161.9  -6 | 161.9  -6
2014-07-19 |  01:54:01  |      1 | 140.9  -2 | 161.9   0 | 161.9   0
2014-07-20 |  02:58:01  |     21 | 140.9  -6 | 161.9  -6 | 161.9  -6
2014-07-26 |  00:30:01  |     21 | 142.9  -5 | 162.9  -5 | 162.9  -5
2014-07-27 |  01:26:01  |     21 | 142.9  -5 | 162.9  -5 | 162.9  -5
2014-07-27 |  06:58:01  |     21 | 139.9  -3 | 159.9  -3 | 159.9  -3
2014-08-02 |  00:30:01  |     21 | 143.9  -4 | 162.9  -4 | 162.9  -4
2014-08-02 |  05:50:01  |      1 | 140.9  -3 | 162.9   0 | 162.9   0
2014-08-02 |  07:50:01  |     21 | 139.9  -1 | 161.9  -1 | 161.9  -1
2014-08-03 |  01:46:01  |     21 | 141.9  -6 | 161.9  -5 | 161.9  -5
2014-08-03 |  05:38:01  |      1 | 139.9  -2 | 161.9   0 | 161.9   0
2014-08-03 |  07:50:01  |     21 | 138.9  -1 | 160.9  -1 | 160.9  -1
2014-08-03 |  12:18:01  |     21 | 137.9  -1 | 159.9  -1 | 159.9  -1
2014-08-09 |  06:38:01  |     21 | 140.9  -8 | 159.9  -6 | 159.9  -6
2014-08-09 |  12:10:01  |     21 | 133.9  -7 | 153.9  -6 | 153.9  -6
2014-08-10 |  07:30:01  |     21 | 140.9  -2 | 159.9  -3 | 159.9  -3
2014-08-10 |  11:58:01  |      1 | 139.9  -1 | 159.9   0 | 159.9   0
2014-08-16 |  06:34:01  |     21 | 140.9  -6 | 160.9  -4 | 160.9  -4
2014-08-16 |  11:38:01  |     21 | 134.9  -6 | 152.9  -8 | 152.9  -8
2014-08-16 |  18:26:01  |      1 | 133.9  -1 | 152.9   0 | 152.9   0
2014-08-17 |  07:30:01  |     21 | 139.9  -3 | 158.9  -3 | 158.9  -3
2014-08-17 |  13:18:01  |     20 | 139.9   0 | 157.9  -1 | 157.9  -1
2014-08-17 |  17:18:01  |      1 | 137.9  -2 | 157.9   0 | 157.9   0
2014-08-23 |  06:30:01  |     21 | 141.9  -6 | 161.9  -4 | 161.9  -4
2014-08-23 |  12:30:01  |     21 | 135.9  -6 | 155.9  -6 | 155.9  -6
2014-08-23 |  13:50:01  |     21 | 134.9  -1 | 154.9  -1 | 154.9  -1
2014-08-23 |  15:38:01  |      1 | 133.9  -1 | 154.9   0 | 154.9   0
2014-08-24 |  07:10:01  |     21 | 139.9  -3 | 160.9  -3 | 160.9  -3
2014-08-24 |  11:38:01  |     21 | 134.9  -5 | 154.9  -6 | 154.9  -6
2014-08-24 |  14:18:01  |      1 | 133.9  -1 | 154.9   0 | 154.9   0
2014-08-30 |  06:30:01  |     21 | 142.9  -5 | 162.9  -3 | 162.9  -3
2014-08-30 |  11:54:01  |     21 | 139.9  -3 | 157.9  -5 | 157.9  -5
2014-08-30 |  12:10:01  |     21 | 138.9  -1 | 156.9  -1 | 156.9  -1
2014-08-31 |  07:30:01  |     21 | 142.9  -5 | 160.9  -5 | 160.9  -5
2014-08-31 |  11:38:01  |      1 | 140.9  -2 | 160.9   0 | 160.9   0
2014-09-06 |  13:22:01  |     21 | 142.9  -5 | 162.9  -3 | 162.9  -3
2014-09-06 |  14:50:01  |     21 | 140.9  -2 | 161.9  -1 | 161.9  -1
2014-09-06 |  15:18:01  |     21 | 137.9  -3 | 157.9  -4 | 157.9  -4
2014-09-07 |  07:38:01  |     21 | 142.9  -4 | 162.9  -3 | 162.9  -3
2014-09-07 |  11:58:01  |     21 | 136.9  -6 | 156.9  -6 | 156.9  -6
2014-09-07 |  14:34:01  |     21 | 135.9  -1 | 155.9  -1 | 155.9  -1
2014-09-13 |  06:34:01  |     21 | 141.9  -4 | 162.9  -1 | 162.9  -1
2014-09-13 |  11:34:01  |     20 | 141.9   0 | 160.9  -2 | 160.9  -2
2014-09-13 |  15:38:01  |     21 | 140.9  -1 | 159.9  -1 | 159.9  -1
2014-09-14 |  07:46:01  |      1 | 141.9  -3 | 162.9   0 | 162.9   0
2014-09-14 |  11:38:01  |     20 | 141.9   0 | 160.9  -2 | 160.9  -2
2014-09-14 |  13:54:01  |     21 | 140.9  -1 | 159.9  -1 | 159.9  -1
2014-09-14 |  15:26:01  |      1 | 139.9  -1 | 159.9   0 | 159.9   0
2014-09-14 |  17:30:01  |     21 | 138.9  -1 | 157.9  -2 | 157.9  -2
2014-09-20 |  06:18:01  |     21 | 138.9  -6 | 158.9  -4 | 158.9  -4
2014-09-20 |  15:10:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-09-21 |  07:46:01  |     21 | 141.9  -3 | 161.9  -1 | 161.9  -1
2014-09-21 |  11:58:01  |     21 | 137.9  -4 | 157.9  -4 | 157.9  -4
2014-09-27 |  06:34:01  |     21 | 139.9  -4 | 159.9  -2 | 159.9  -2
2014-09-27 |  16:38:01  |     21 | 137.9  -2 | 157.9  -2 | 157.9  -2
2014-09-28 |  06:30:01  |     21 | 139.9  -4 | 159.9  -2 | 159.9  -2
2014-10-04 |  06:38:01  |      1 | 141.9  -1 | 161.9   0 | 161.9   0
2014-10-04 |  14:58:01  |     21 | 138.9  -3 | 158.9  -3 | 158.9  -3
2014-10-04 |  16:54:01  |     21 | 137.9  -1 | 156.9  -2 | 156.9  -2
2014-10-05 |  07:50:01  |     21 | 139.9  -3 | 160.9  -1 | 160.9  -1
2014-10-05 |  11:54:01  |     21 | 138.9  -1 | 158.9  -2 | 158.9  -2
2014-10-05 |  15:38:01  |     21 | 137.9  -1 | 157.9  -1 | 157.9  -1
2014-10-05 |  17:42:01  |     21 | 136.9  -1 | 156.9  -1 | 156.9  -1
2014-10-11 |  06:38:01  |     21 | 135.9  -6 | 156.9  -5 | 156.9  -5
2014-10-12 |  06:50:01  |     21 | 137.9  -2 | 158.9  -1 | 158.9  -1
2014-10-12 |  11:58:01  |     21 | 134.9  -3 | 154.9  -4 | 154.9  -4
2014-10-12 |  13:26:01  |     21 | 133.9  -1 | 153.9  -1 | 153.9  -1
2014-10-12 |  15:10:01  |     21 | 132.9  -1 | 152.9  -1 | 152.9  -1
2014-10-12 |  16:30:01  |     21 | 131.9  -1 | 151.9  -1 | 151.9  -1
2014-10-18 |  06:18:01  |     21 | 133.9  -5 | 151.9  -6 | 151.9  -6
2014-10-18 |  13:30:01  |     20 | 133.9   0 | 150.9  -1 | 150.9  -1
2014-10-18 |  14:58:01  |     21 | 132.9  -1 | 149.9  -1 | 149.9  -1
2014-10-18 |  17:58:01  |     21 | 129.9  -3 | 148.9  -1 | 148.9  -1
2014-10-19 |  07:30:01  |     21 | 135.9  -3 | 151.9  -6 | 151.9  -6
2014-10-19 |  11:46:01  |     21 | 133.9  -2 | 150.9  -1 | 150.9  -1
2014-10-19 |  16:10:01  |      1 | 132.9  -1 | 150.9   0 | 150.9   0
2014-10-25 |  06:10:01  |     21 | 135.9  -4 | 151.9  -6 | 151.9  -6
2014-10-25 |  16:10:01  |     21 | 132.9  -3 | 149.9  -2 | 149.9  -2
2014-10-25 |  18:18:01  |     21 | 131.9  -1 | 147.9  -2 | 147.9  -2
2014-10-26 |  07:18:01  |     21 | 135.9  -4 | 152.9  -4 | 152.9  -4
2014-10-26 |  11:50:01  |     21 | 133.9  -2 | 151.9  -1 | 151.9  -1
2014-10-26 |  12:58:01  |     21 | 132.9  -1 | 150.9  -1 | 150.9  -1
2014-10-26 |  14:18:01  |      1 | 131.9  -1 | 150.9   0 | 150.9   0
2014-10-26 |  15:18:01  |     21 | 130.9  -1 | 148.9  -2 | 148.9  -2
2014-11-01 |  08:54:01  |     21 | 136.9  -2 | 153.9  -2 | 153.9  -2
2014-11-01 |  11:54:01  |     21 | 129.9  -7 | 147.9  -6 | 147.9  -6
2014-11-01 |  15:38:01  |     20 | 129.9   0 | 145.9  -2 | 145.9  -2
2014-11-01 |  16:10:01  |      1 | 128.9  -1 | 145.9   0 | 145.9   0
2014-11-02 |  06:02:01  |     21 | 135.9  -2 | 151.9  -3 | 151.9  -3
2014-11-02 |  11:10:01  |     21 | 129.9  -6 | 147.9  -4 | 147.9  -4
2014-11-08 |  07:37:00  |     21 | 135.9  -4 | 152.9  -3 | 152.9  -3
2014-11-08 |  13:21:00  |      1 | 134.9  -1 | 152.9   0 | 152.9   0
2014-11-08 |  16:13:00  |     21 | 129.9  -5 | 147.9  -5 | 147.9  -5
2014-11-09 |  08:29:00  |     21 | 135.9  -3 | 152.9  -3 | 152.9  -3
2014-11-09 |  12:29:00  |     21 | 130.9  -5 | 147.9  -5 | 147.9  -5
2014-11-15 |  06:33:00  |     21 | 134.9  -4 | 150.9  -3 | 150.9  -3
2014-11-15 |  12:13:00  |      1 | 126.9  -8 | 150.9   0 | 150.9   0
2014-11-16 |  07:53:00  |     21 | 132.9  -2 | 150.9  -3 | 150.9  -3
2014-11-16 |  12:17:00  |     21 | 126.9  -6 | 143.9  -7 | 143.9  -7
2014-11-16 |  18:09:00  |     20 | 126.9   0 | 141.9  -2 | 141.9  -2
2014-11-22 |  06:17:00  |     21 | 131.9  -5 | 149.9  -3 | 149.9  -3
2014-11-22 |  13:09:00  |     21 | 125.9  -6 | 143.9  -6 | 143.9  -6
2014-11-23 |  08:37:00  |     21 | 131.9  -3 | 149.9  -3 | 149.9  -3
2014-11-23 |  12:17:00  |     21 | 125.9  -6 | 143.9  -6 | 143.9  -6
2014-11-29 |  06:09:00  |     21 | 128.9  -6 | 147.9  -2 | 147.9  -2
2014-11-29 |  13:29:00  |     21 | 127.9  -1 | 144.9  -3 | 144.9  -3
2014-11-29 |  15:09:00  |     21 | 126.9  -1 | 143.9  -1 | 143.9  -1
2014-11-29 |  16:57:00  |     21 | 124.9  -2 | 141.9  -2 | 141.9  -2
2014-11-29 |  17:53:00  |     21 | 123.9  -1 | 140.9  -1 | 140.9  -1
2014-11-30 |  08:29:00  |     21 | 128.9  -4 | 145.9  -4 | 145.9  -4
2014-11-30 |  12:17:00  |     21 | 122.9  -6 | 139.9  -6 | 139.9  -6
2014-12-06 |  06:09:00  |     21 | 126.9  -5 | 142.9  -3 | 142.9  -3
2014-12-06 |  12:33:00  |     20 | 126.9   0 | 136.9  -6 | 136.9  -6
2014-12-06 |  13:17:00  |      1 | 119.9  -7 | 136.9   0 | 136.9   0
2014-12-07 |  07:29:00  |     21 | 125.9  -3 | 142.9  -2 | 142.9  -2
2014-12-07 |  11:37:00  |     21 | 119.9  -6 | 136.9  -6 | 136.9  -6
2014-12-07 |  13:57:00  |     20 | 119.9   0 | 135.9  -1 | 135.9  -1
2014-12-07 |  17:13:00  |     20 | 119.9   0 | 134.9  -1 | 134.9  -1
2014-12-13 |  06:29:00  |     21 | 122.9  -3 | 137.9  -2 | 137.9  -2
2014-12-13 |  12:05:00  |     21 | 116.9  -6 | 130.9  -7 | 130.9  -7
2014-12-13 |  12:49:00  |      1 | 115.9  -1 | 130.9   0 | 130.9   0
2014-12-14 |  08:49:00  |     21 | 121.9  -3 | 136.9  -3 | 136.9  -3
2014-12-14 |  11:49:00  |     21 | 115.9  -6 | 130.9  -6 | 130.9  -6
2014-12-20 |  06:14:01  |     21 | 120.9  -5 | 135.9  -4 | 135.9  -4
2014-12-20 |  11:42:01  |     21 | 119.9  -1 | 129.9  -6 | 129.9  -6
2014-12-20 |  15:10:01  |     21 | 117.9  -2 | 128.9  -1 | 128.9  -1
2014-12-21 |  07:30:01  |     21 | 120.9  -5 | 134.9  -3 | 134.9  -3
2014-12-21 |  13:10:01  |     21 | 117.9  -3 | 128.9  -6 | 128.9  -6
2014-12-27 |  06:58:01  |     21 | 120.9  -3 | 133.9  -3 | 133.9  -3
